features,importance
Area,0.06687602551249133
Perimeter,0.10571659193957733
MajorAxisLength,0.0708561830411249
MinorAxisLength,0.08400447274488018
AspectRation,0.05828002895135012
Eccentricity,0.07310467785010838
ConvexArea,0.07025073837159819
EquivDiameter,0.05176649161476267
Extent,0.011196535789771712
Solidity,0.016179199239722115
roundness,0.06010878262315603
Compactness,0.09746012928046449
ShapeFactor1,0.08149758222478323
ShapeFactor2,0.03756306429314391
ShapeFactor3,0.0864266361325982
ShapeFactor4,0.028712860390467238
